rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
999,CHP04948,眼子菜,0.37357357058381346,6.08282709,0.6758696766666668,0.83747028,0.0,0.4444444444444444
1000,CHP02869,木蝴蝶,0.3734952289047166,16.58898654,0.7540448427272728,0.8169934728571429,0.0,0.3181818181818182
1001,CHP02282,荔枝叶,0.3734823990830992,4.63371803,0.7722863383333333,0.828980265,0.0,0.3333333333333333
1002,CHP02942,南酸枣,0.3733554265928609,3.12404613,0.7810115325,0.8873804,0.0,0.25
1003,CHP02159,昆明鸡血藤,0.3733161191527804,2.17152626,0.7238420866666666,0.8851722,0.0,0.3333333333333333
1004,CHP06128,松萝,0.37309985424936676,20.46387524,0.7579213051851852,0.8418306742857142,0.0,0.25925925925925924
1005,CHP00424,垂盆草,0.37292330728571776,44.71675127,0.6674141980597016,0.8475913429411764,1.0,0.2537313432835821
1006,CHP03439,沙参,0.3728832492820154,29.23093061,0.6643393320454546,0.8661218453846155,3.0,0.29545454545454547
1007,CHP01907,金粉蕨,0.37261126530102334,5.46770105,0.78110015,0.8486191999999999,0.0,0.2857142857142857
1008,CHP03273,秋枫木,0.3723127927332623,2.1494047,0.7164682333333333,0.8876065,0.0,0.3333333333333333
1009,CHP03070,胖大海,0.37227391928399767,12.912697499999998,0.6796156578947368,0.889405745,3.0,0.3157894736842105
1010,CHP04995,洋蓍草,0.3722277676643969,5.04321549,0.7204593557142857,0.90531688,1.0,0.2857142857142857
1011,CHP01663,黄花稔,0.3722252886115773,7.76023017,0.70547547,0.8523798425,1.0,0.36363636363636365
1012,CHP05967,牛靥,0.37205776091228665,4.38728,0.7312133333333333,0.86378875,0.0,0.3333333333333333
1013,CHP03962,松节,0.37198920047828565,4.3438019500000005,0.6205431357142858,0.89582972,2.0,0.42857142857142855
1014,CHP01338,海金砂,0.3718445275281136,19.2579826,0.6877850928571428,0.8597603211111111,1.0,0.32142857142857145
1015,CHP03843,水红花子,0.37179485969521525,11.96525394,0.7038384670588236,0.8487390833333333,0.0,0.35294117647058826
1016,CHP00100,白胶香,0.3717779107817446,14.063653979999998,0.7031826989999999,0.87469513,2.0,0.3
1017,CHP02054,绢毛蔷薇,0.37177522986600237,2.2789291599999997,0.7596430533333333,0.84129256,0.0,0.3333333333333333
1018,CHP01566,花锚,0.3715783797037141,2.4515341999999998,0.6128835499999999,0.8614664000000001,0.0,0.5
